mmcif_id,chain_or_interface_id,metrics,value
7UVH_1,poly:A||poly:C,DockQ,0.136
7UVH_1,poly:B||poly:C,DockQ,0.047
7UVH_1,global,tm_score,0.81342
7UVP_1,global,tm_score,0.93904
7UVS_1,poly:A||poly:C,DockQ,0.03
7UVS_1,global,tm_score,0.75826
7UWI_1,global,tm_score,0.97756
7UWJ_1,global,tm_score,0.95462
7UWO_1,global,tm_score,0.96939
7UX0_1,global,tm_score,0.92137
7UX5_1,poly:A||poly:B,DockQ,0.224
7UX5_1,global,tm_score,0.90218
7UX6_1,global,tm_score,0.93189
7UXA_1,global,tm_score,0.98806
7UXD_1,global,tm_score,0.96778
7UXI_1,poly:A||poly:B,DockQ,0.042
7UXI_1,global,tm_score,0.87709
7UXJ_1,global,tm_score,0.95169
7UXK_1,poly:A||poly:B,DockQ,0.016
7UXK_1,global,tm_score,0.82613
7UXM_1,global,tm_score,0.91703
7UXN_1,poly:A||poly:B,DockQ,0.189
7UXN_1,global,tm_score,0.94611
7UXO_1,poly:A||poly:B,DockQ,0.88
7UXO_1,global,tm_score,0.93912
7UXR_1,poly:A||poly:B,DockQ,0.899
7UXR_1,global,tm_score,0.95992
7UXS_1,global,tm_score,0.9783
7UXY_1,global,tm_score,0.97016
7UY2_1,global,tm_score,0.93321
7UYJ_1,global,tm_score,0.91381
7UYK_1,global,tm_score,0.64353
7UZO_1,poly:A||poly:B,DockQ,0.579
7UZO_1,global,tm_score,0.88864
7V09_1,global,tm_score,0.97805
7V09_1,poly:A,tm_score,0.97805
7XP7_1,poly:A||poly:B,DockQ,0.799
7XP7_1,global,tm_score,0.99062
7XP7_1,poly:A,tm_score,0.99244
7XP9_1,global,tm_score,0.92568
7XP9_1,poly:A,tm_score,0.92568
7XPC_1,poly:A||poly:B,DockQ,0.012
7XPC_1,global,tm_score,0.80973
7XPI_1,global,tm_score,0.46649
7XPZ_1,global,tm_score,0.96557
7XPZ_1,poly:A,tm_score,0.96557
7XQ3_1,poly:A||poly:C,DockQ,0.062
7XQ3_1,global,tm_score,0.31713
7XQ5_1,global,tm_score,0.9609
7XQK_1,global,tm_score,0.99058
7XQK_1,poly:A,tm_score,0.98045
7XQS_1,poly:A||poly:C,DockQ,0.921
7XQS_1,global,tm_score,0.98854
7XQT_1,poly:A||poly:C,DockQ,0.93
7XQT_1,global,tm_score,0.993
7XQU_1,poly:A||poly:C,DockQ,0.742
7XQU_1,global,tm_score,0.97703
7XRP_1,global,tm_score,0.39331
7XS4_1,global,tm_score,0.97744
7XT3_1,global,tm_score,0.85054
7XT3_1,poly:A,tm_score,0.85054
7XUR_1,global,tm_score,0.92996
7XUZ_1,global,tm_score,0.57849
7XV0_1,poly:A||poly:B,DockQ,0.335
7XV0_1,global,tm_score,0.92359
7XV1_1,poly:A||poly:B,DockQ,0.623
7XV1_1,global,tm_score,0.93309
7XV4_1,poly:A||poly:B,DockQ,0.725
7XV4_1,global,tm_score,0.9509
7XVN_1,global,tm_score,0.49226
7XW2_1,global,tm_score,0.92146
7XWH_1,global,tm_score,0.993
7XXB_1,global,tm_score,0.98434
7XXI_1,global,tm_score,0.97877
7XY6_1,global,tm_score,0.96957
7XYD_1,global,tm_score,0.98845
7XYQ_1,poly:A||poly:B,DockQ,0.011
7XYQ_1,global,tm_score,0.91843
7XZQ_1,poly:A||poly:B,DockQ,0.321
7XZQ_1,global,tm_score,0.95248
7Y01_1,global,tm_score,0.9569
7Y0L_1,global,tm_score,0.99149
7Y0W_1,global,tm_score,0.43204
7Y0Y_1,poly:A||poly:B,DockQ,0.632
7Y0Y_1,global,tm_score,0.84811
7Y16_1,poly:A||poly:B,DockQ,0.639
7Y16_1,global,tm_score,0.92876
7Y16_1,poly:A,tm_score,0.90231
7Y3H_1,global,tm_score,0.96598
7Y3K_1,global,tm_score,0.54965
7Y3W_1,global,tm_score,0.73378
7Y40_1,global,tm_score,0.97987
7Y43_1,global,tm_score,0.90923
7Y4X_1,global,tm_score,0.94991
7Y58_1,poly:A||poly:C,DockQ,0.474
7Y58_1,global,tm_score,0.76398
7Y58_1,poly:A,tm_score,0.81418
7Y5R_1,global,tm_score,0.92731
7Y5R_1,poly:A,tm_score,0.92731
7Y6B_1,poly:A||poly:B,DockQ,0.794
7Y6B_1,global,tm_score,0.96736
7Y6B_1,poly:A,tm_score,0.96425
7Y6O_1,global,tm_score,0.40873
7Y73_1,poly:A||poly:B,DockQ,0.827
7Y73_1,global,tm_score,0.96389
7Y7O_1,global,tm_score,0.9242
7Y7O_1,poly:A,tm_score,0.9242
7Y9N_1,poly:A||poly:B,DockQ,0.066
7Y9N_1,global,tm_score,0.42801
7Y9N_1,poly:A,tm_score,0.47259
7YAG_1,global,tm_score,0.67651
7YC7_1,global,tm_score,0.97278
7YCO_1,poly:A||poly:B,DockQ,0.035
7YCO_1,global,tm_score,0.60574
7YCS_1,poly:B||poly:C,DockQ,0.311
7YCS_1,global,tm_score,0.37751
7YDQ_1,global,tm_score,0.60585
7YDT_1,global,tm_score,0.96106
7YDT_1,poly:A,tm_score,0.96106
7YDW_1,global,tm_score,0.30717
7YDZ_1,global,tm_score,0.97273
7YEI_1,global,tm_score,0.97195
7YEJ_1,global,tm_score,0.97268
7YEM_1,global,tm_score,0.97275
7YEO_1,poly:A||poly:B,DockQ,0.009
7YEO_1,global,tm_score,0.50243
7YEO_1,poly:A,tm_score,0.98881
7YEY_1,global,tm_score,0.96624
7YF2_1,global,tm_score,0.47166
7YF3_1,global,tm_score,0.46372
7YF6_1,poly:B||poly:C,DockQ,0.424
7YF6_1,global,tm_score,0.94075
7YFV_1,poly:A||poly:B,DockQ,0.634
7YFV_1,global,tm_score,0.77541
7YG3_1,poly:A||poly:B,DockQ,0.961
7YG3_1,global,tm_score,0.99322
7YGH_1,poly:A||poly:B,DockQ,0.477
7YGH_1,global,tm_score,0.87714
7YGL_1,global,tm_score,0.87603
7YHO_1,global,tm_score,0.96628
7YHP_1,global,tm_score,0.98599
7YHQ_1,global,tm_score,0.96517
7YI6_1,global,tm_score,0.76405
7YI8_1,poly:A||poly:B,DockQ,0.771
7YI8_1,poly:B||poly:D,DockQ,0.642
7YI8_1,global,tm_score,0.9502
7YIT_1,global,tm_score,0.64286
7YJW_1,poly:A||poly:B,DockQ,0.009
7YJW_1,global,tm_score,0.49554
7YK4_1,global,tm_score,0.70945
7YKH_1,poly:A||poly:B,DockQ,0.709
7YKH_1,global,tm_score,0.9369
7YKM_1,global,tm_score,0.9368
7YKM_1,poly:A,tm_score,0.9368
7YKN_1,global,tm_score,0.99478
7YKN_1,poly:A,tm_score,0.99478
7YLE_1,global,tm_score,0.98123
7YLR_1,global,tm_score,0.95158
7YLS_1,global,tm_score,0.98202
7YLZ_1,global,tm_score,0.99421
7YLZ_1,poly:A,tm_score,0.99421
7YM8_1,global,tm_score,0.76531
7YMJ_1,global,tm_score,0.65231
7YN3_1,global,tm_score,0.80334
7YNE_1,poly:A||poly:B,DockQ,0.909
7YNE_1,global,tm_score,0.9858
7YNI_1,global,tm_score,0.98554
7YOA_1,poly:A||poly:B,DockQ,0.169
7YOA_1,global,tm_score,0.51875
7YOA_1,poly:A,tm_score,0.83409
7YOD_1,global,tm_score,0.98889
7YPP_1,poly:A||poly:B,DockQ,0.79
7YPP_1,global,tm_score,0.98534
7YPP_1,poly:A,tm_score,0.97435
7YPQ_1,global,tm_score,0.76923
7YR6_1,global,tm_score,0.45012
7YRI_1,global,tm_score,0.51007
7YRO_1,global,tm_score,0.99113
7YSF_1,global,tm_score,0.78963
7YSI_1,global,tm_score,0.9587
7YSI_1,poly:A,tm_score,0.9587
7YT9_1,global,tm_score,0.91224
7YT9_1,poly:A,tm_score,0.91224
7YTW_1,global,tm_score,0.99397
7YTW_1,poly:A,tm_score,0.99003
7YUB_1,global,tm_score,0.48067
7YUK_1,global,tm_score,0.98526
7YUL_1,global,tm_score,0.48674
7YW2_1,global,tm_score,0.93849
7YW4_1,global,tm_score,0.95861
7YW4_1,poly:A,tm_score,0.95861
7YWA_1,global,tm_score,0.87629
7ZRN_1,global,tm_score,0.99602
7ZRN_1,poly:A,tm_score,0.99494
7ZS0_1,global,tm_score,0.8009
7ZTB_1,global,tm_score,0.80308
7ZTB_1,poly:A,tm_score,0.80308
7ZTH_1,global,tm_score,0.97432
7ZTN_1,global,tm_score,0.99437
7ZU8_1,global,tm_score,0.96878
7ZUC_1,poly:A||poly:C,DockQ,0.945
7ZUC_1,global,tm_score,0.98804
7ZUS_1,global,tm_score,0.94432
7ZV5_1,global,tm_score,0.9849
7ZVB_1,global,tm_score,0.95803
7ZWI_1,poly:A||poly:B,DockQ,0.054
7ZWI_1,poly:A||poly:C,DockQ,0.049
7ZWI_1,global,tm_score,0.70519
7ZWK_1,poly:A||poly:C,DockQ,0.297
7ZWK_1,poly:B||poly:C,DockQ,0.431
7ZWK_1,global,tm_score,0.96602
7ZXK_1,global,tm_score,0.64166
7ZYH_1,poly:B||poly:C,DockQ,0.821
7ZYH_1,global,tm_score,0.96309
7ZZK_1,global,tm_score,0.98776
8A0W_1,global,tm_score,0.95025
8A0X_1,global,tm_score,0.89254
8A16_1,global,tm_score,0.91075
8A16_1,poly:A,tm_score,0.91075
8A1C_1,global,tm_score,0.93245
8A1F_1,global,tm_score,0.89885
8A1P_1,poly:B||poly:C,DockQ,0.016
8A1P_1,global,tm_score,0.72848
8A24_1,global,tm_score,0.9746
8A24_1,poly:A,tm_score,0.9746
8A28_1,global,tm_score,0.56456
8A28_1,poly:A,tm_score,0.56456
8A3J_1,poly:B||poly:C,DockQ,0.062
8A3J_1,poly:B||poly:D,DockQ,0.164
8A3J_1,poly:C||poly:D,DockQ,0.777
8A3J_1,global,tm_score,0.83706
8A44_1,poly:A||poly:C,DockQ,0.02
8A44_1,poly:A||poly:D,DockQ,0.014
8A44_1,global,tm_score,0.63593
8A47_1,global,tm_score,0.97508
8A4A_1,global,tm_score,0.9404
8A5L_1,poly:A||poly:B,DockQ,0.55
8A5L_1,global,tm_score,0.97685
8A60_1,poly:A||poly:B,DockQ,0.007
8A60_1,global,tm_score,0.87436
8A65_1,global,tm_score,0.99208
8A8J_1,global,tm_score,0.89356
8A8K_1,global,tm_score,0.86018
8A8K_1,poly:A,tm_score,0.86018
8A8M_1,global,tm_score,0.87131
8A8Q_1,poly:C||poly:D,DockQ,0.077
8A8Q_1,global,tm_score,0.55926
8A9N_1,poly:A||poly:B,DockQ,0.792
8A9N_1,global,tm_score,0.95422
8AAA_1,poly:A||poly:B,DockQ,0.013
8AAA_1,global,tm_score,0.83329
8AAJ_1,poly:A||poly:B,DockQ,0.558
8AAJ_1,poly:A||poly:C,DockQ,0.567
8AAJ_1,global,tm_score,0.72571
8AAJ_1,poly:A,tm_score,0.50015
8AAN_1,global,tm_score,0.94836
8AAS_1,global,tm_score,0.98516
8AB0_1,global,tm_score,0.88193
8ABT_1,global,tm_score,0.33513
8AC8_1,global,tm_score,0.97701
8ACC_1,global,tm_score,0.78065
8AD2_1,poly:A||poly:B,DockQ,0.018
8AD2_1,global,tm_score,0.48892
8ADB_1,poly:A||poly:B,DockQ,0.01
8ADB_1,global,tm_score,0.61517
8ADD_1,global,tm_score,0.96841
8ADM_1,global,tm_score,0.9575
8AE4_1,poly:A||poly:B,DockQ,0.051
8AE4_1,global,tm_score,0.69992
8AE5_1,global,tm_score,0.68282
8AEL_1,poly:A||poly:B,DockQ,0.025
8AEL_1,global,tm_score,0.76813
8AEP_1,poly:A||poly:B,DockQ,0.027
8AEP_1,global,tm_score,0.51182
8AEZ_1,global,tm_score,0.96824
8AFI_1,poly:A||poly:B,DockQ,0.822
8AFI_1,global,tm_score,0.96989
8AFO_1,global,tm_score,0.96601
8AG0_1,poly:A||poly:B,DockQ,0.185
8AG0_1,global,tm_score,0.64564
8AGR_1,global,tm_score,0.98771
8AGR_1,poly:A,tm_score,0.98771
8AH9_1,global,tm_score,0.97215
8AH9_1,poly:A,tm_score,0.97215
8AHR_1,poly:A||poly:B,DockQ,0.778
8AHR_1,global,tm_score,0.98249
8AIN_1,poly:A||poly:B,DockQ,0.104
8AIN_1,global,tm_score,0.75442
8AIW_1,poly:A||poly:B,DockQ,0.052
8AIW_1,global,tm_score,0.66768
8AJ7_1,global,tm_score,0.87563
8AJ7_1,poly:A,tm_score,0.87563
8AJP_1,global,tm_score,0.98737
8AJP_1,poly:A,tm_score,0.98737
8AKP_1,global,tm_score,0.99276
8ALK_1,global,tm_score,0.78589
8AMO_1,global,tm_score,0.97653
8AMO_1,poly:A,tm_score,0.97653
8AMP_1,global,tm_score,0.96503
8AMP_1,poly:A,tm_score,0.96503
8AMS_1,poly:A||poly:E,DockQ,0.628
8AMS_1,poly:B||poly:D,DockQ,0.858
8AMS_1,poly:C||poly:D,DockQ,0.862
8AMS_1,global,tm_score,0.41264
8AMU_1,global,tm_score,0.51957
8AP3_1,poly:A||poly:C,DockQ,0.758
8AP3_1,global,tm_score,0.98853
8AP3_1,poly:A,tm_score,0.99448
8APQ_1,global,tm_score,0.99756
8AQA_1,poly:A||poly:C,DockQ,0.44
8AQA_1,poly:B||poly:C,DockQ,0.463
8AQA_1,global,tm_score,0.98425
8AQK_1,poly:B||poly:C,DockQ,0.37
8AQK_1,global,tm_score,0.98554
8ARA_1,global,tm_score,0.89181
8ARA_1,poly:A,tm_score,0.97561
8AU6_1,global,tm_score,0.91931
8AU6_1,poly:A,tm_score,0.91931
8AUC_1,global,tm_score,0.43495
8AV2_1,global,tm_score,0.90539
8AVH_1,poly:A||poly:B,DockQ,0.772
8AVH_1,global,tm_score,0.95661
8AW3_1,global,tm_score,0.76948
8AW4_1,poly:A||poly:B,DockQ,0.033
8AW4_1,global,tm_score,0.66335
8AW5_1,global,tm_score,0.90156
8AXJ_1,global,tm_score,0.96114
8AXJ_1,poly:A,tm_score,0.96114
8AYR_1,global,tm_score,0.71458
8AYR_1,poly:A,tm_score,0.71458
8AYV_1,poly:A||poly:B,DockQ,0.929
8AYV_1,global,tm_score,0.99103
8B01_1,poly:A||poly:B,DockQ,0.828
8B01_1,poly:A||poly:C,DockQ,0.039
8B01_1,poly:B||poly:C,DockQ,0.059
8B01_1,global,tm_score,0.87414
8B0P_1,poly:A||poly:B,DockQ,0.292
8B0P_1,global,tm_score,0.97952
8B0R_1,global,tm_score,0.98893
8B1N_1,poly:A||poly:B,DockQ,0.4
8B1N_1,global,tm_score,0.71307
8B1N_1,poly:A,tm_score,0.63276
8B2E_1,global,tm_score,0.9919
8B2E_1,poly:A,tm_score,0.9919
8B2H_1,global,tm_score,0.98406
