target_id,ligand_rmsd,pocket_rmsd,rmsd_≤_2å,rmsd_≤_5å,protein_tm_score,protein_rmsd,sanitization,all_atoms_connected,molecular_formula,molecular_bonds,double_bond_stereochemistry,tetrahedral_chirality,bond_lengths,bond_angles,internal_steric_clash,aromatic_ring_flatness,double_bond_flatness,internal_energy,protein-ligand_maximum_distance,minimum_distance_to_protein,minimum_distance_to_organic_cofactors,minimum_distance_to_inorganic_cofactors,minimum_distance_to_waters,volume_overlap_with_protein,volume_overlap_with_organic_cofactors,volume_overlap_with_inorganic_cofactors,volume_overlap_with_waters
5SAK_ZRY,0.5093604421232569,0.639,True,True,0.98738,0.75,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
5SB2_1K2,0.397598314885765,0.938,True,True,0.95282,1.53,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
5SD5_HWI,0.6017010186646429,0.518,True,True,0.9809,0.71,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
5SIS_JSM,0.7960338923767641,0.743,True,True,0.98506,0.88,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
6M2B_EZO,0.3605097968155647,0.491,True,True,0.99485,0.5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
6M73_FNR,0.31418963556548823,0.626,True,True,0.97583,1.14,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
6T88_MWQ,0.6032604628185075,0.715,True,True,0.97563,1.22,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
6TW5_9M2,1.0504394508966242,0.831,True,True,0.37996,4.76,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
6TW7_NZB,0.7783432737064924,0.719,True,True,0.98591,0.88,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
6VTA_AKN,2.5397654860734686,1.718,False,True,0.98508,0.77,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
6WTN_RXT,0.3941643731281127,0.466,True,True,0.97958,0.94,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
