mmcif_id,chain_or_interface_id,metrics,value
7UVH_1,poly:A||poly:C,DockQ,0.04
7UVH_1,global,tm_score,0.75584
7UVS_1,poly:A||poly:C,DockQ,0.03
7UVS_1,global,tm_score,0.73361
7UXY_1,poly:A||poly:C,DockQ,0.439
7UXY_1,global,tm_score,0.93593
7XQ3_1,poly:A||poly:C,DockQ,0.007
7XQ3_1,global,tm_score,0.30156
7XQ5_1,poly:A||poly:C,DockQ,0.727
7XQ5_1,global,tm_score,0.89987
7XQS_1,poly:A||poly:C,DockQ,0.892
7XQS_1,global,tm_score,0.98547
7XQT_1,poly:A||poly:C,DockQ,0.892
7XQT_1,global,tm_score,0.98685
7XQU_1,poly:A||poly:C,DockQ,0.85
7XQU_1,global,tm_score,0.97808
7XW2_1,poly:A||poly:C,DockQ,0.075
7XW2_1,global,tm_score,0.74521
7Y58_1,poly:A||poly:C,DockQ,0.276
7Y58_1,global,tm_score,0.74302
7YC7_1,poly:A||poly:C,DockQ,0.816
7YC7_1,global,tm_score,0.96109
7YDZ_1,poly:A||poly:C,DockQ,0.676
7YDZ_1,global,tm_score,0.96741
7YEI_1,poly:A||poly:C,DockQ,0.647
7YEI_1,global,tm_score,0.96819
7YEJ_1,poly:A||poly:C,DockQ,0.703
7YEJ_1,global,tm_score,0.96956
7YEM_1,poly:A||poly:C,DockQ,0.632
7YEM_1,global,tm_score,0.96096
7YHO_1,poly:A||poly:C,DockQ,0.01
7YHO_1,global,tm_score,0.59064
7YHP_1,poly:A||poly:C,DockQ,0.006
7YHP_1,global,tm_score,0.50591
7YHQ_1,poly:A||poly:C,DockQ,0.254
7YHQ_1,global,tm_score,0.57741
7YSF_1,poly:A||poly:C,DockQ,0.175
7YSF_1,global,tm_score,0.6231
7ZUC_1,poly:A||poly:C,DockQ,0.898
7ZUC_1,global,tm_score,0.98101
7ZWI_1,poly:A||poly:C,DockQ,0.028
7ZWI_1,global,tm_score,0.74396
7ZWK_1,poly:A||poly:C,DockQ,0.891
7ZWK_1,global,tm_score,0.99193
8A0W_1,poly:A||poly:C,DockQ,0.708
8A0W_1,global,tm_score,0.91987
8A1C_1,poly:A||poly:C,DockQ,0.489
8A1C_1,global,tm_score,0.8684
8A44_1,poly:A||poly:C,DockQ,0.003
8A44_1,global,tm_score,0.60136
8AAJ_1,poly:A||poly:C,DockQ,0.61
